,Unnamed: 0,code_en,sector_spanish,code_es,sector_english,creative_nesta_2016,creative_refined,creative_sector,has_creative,code_int
170,170,711312,"Promotores del sector público de espectáculos artísticos, culturales, deportivos y similares que cuentan con instalaciones para presentarlos",711312,"Promoters of performing arts, sports and similar events with facilities, public sector",1.0,1.0,music_performing_arts,1,711312
171,171,71132,"Promotores de espectáculos artísticos, culturales, deportivos y similares que no cuentan con instalaciones para presentarlosT",71132,"Promoters of performing arts, sports and similar events without facilitiesT",1.0,1.0,music_performing_arts,1,71132
172,172,711320,"Promotores de espectáculos artísticos, culturales, deportivos y similares que no cuentan con instalaciones para presentarlos",711320,"Promoters of performing arts, sports and similar events without facilities",1.0,1.0,music_performing_arts,1,711320
173,173,7114,"Agentes y representantes de artistas, deportistas y similaresT",7114,"Agents and managers for artists, athletes and similar figuresT",1.0,1.0,music_performing_arts,1,7114
174,174,71141,"Agentes y representantes de artistas, deportistas y similaresT",71141,"Agents and managers for artists, athletes and similar figuresT",1.0,1.0,music_performing_arts,1,71141
175,175,711410,"Agentes y representantes de artistas, deportistas y similares",711410,"Agents and managers for artists, athletes and similar figures",1.0,1.0,music_performing_arts,1,711410
176,176,7115,"Artistas, escritores y técnicos independientesT",7115,"Independent artists, writers and techniciansT",1.0,1.0,music_performing_arts,1,7115
177,177,71151,"Artistas, escritores y técnicos independientesT",71151,"Independent artists, writers and techniciansT",1.0,1.0,music_performing_arts,1,71151
178,178,711510,"Artistas, escritores y técnicos independientes",711510,"Independent artists, writers and technicians",1.0,1.0,music_performing_arts,1,711510
179,179,712,"Museos, sitios históricos, zoológicos y similaresT",712,"Museums, historical sites, zoos and similar institutionsT",1.0,1.0,libraries_museums,1,712
180,180,7121,"Museos, sitios históricos, zoológicos y similaresT",7121,"Museums, historical sites, zoos and similar institutionsT",1.0,1.0,libraries_museums,1,7121
181,181,71211,MuseosT,71211,MuseumsT,1.0,1.0,libraries_museums,1,71211
182,182,712111,Museos del sector privado,712111,"Museums, private sector",1.0,1.0,libraries_museums,1,712111
183,183,712112,Museos del sector público,712112,"Museums, public sector",1.0,1.0,libraries_museums,1,712112
184,184,71212,Sitios históricosT,71212,Historical sitesT,1.0,1.0,libraries_museums,1,71212
185,185,712120,Sitios históricos,712120,Historical sites,1.0,1.0,libraries_museums,1,712120
186,186,71213,Jardines botánicos y zoológicosT,71213,Botanical gardens and zoosT,1.0,1.0,libraries_museums,1,71213
187,187,712131,Jardines botánicos y zoológicos del sector privado,712131,"Botanical gardens and zoos, private sector",1.0,1.0,libraries_museums,1,712131
188,188,712132,Jardines botánicos y zoológicos del sector público,712132,"Botanical gardens and zoos, public sector",1.0,1.0,libraries_museums,1,712132
189,189,71219,"Grutas, parques naturales y otros sitios del patrimonio cultural de la naciónT",71219,"Caves, natural parks and other national cultural heritage sitesT",1.0,1.0,libraries_museums,1,71219
190,190,712190,"Grutas, parques naturales y otros sitios del patrimonio cultural de la nación",712190,"Caves, natural parks and other national cultural heritage sites",1.0,1.0,libraries_museums,1,712190
191,191,8129,Servicios de revelado e impresión de fotografías y otros servicios personales,8129,Photograph developing and printing and other personal services,1.0,1.0,publishing,1,8129
192,192,81291,Servicios de revelado e impresión de fotografías,81291,Photograph developing and printing services,1.0,1.0,publishing,1,81291
193,193,812910,Servicios de revelado e impresión de fotografías,812910,Photograph developing and printing services,1.0,1.0,publishing,1,812910
194,194,81299,Otros servicios personales,81299,Other personal services,1.0,1.0,publishing,1,81299
195,195,812990,Otros servicios personales,812990,Other personal services,1.0,1.0,publishing,1,812990
